"Create_date","OptIn_date","OptOut_date","Email_status"
"09/01/2021 03:53 PM",,,"Unsubscribed"
"09/12/2021 08:38 AM",,,"OptOut"
"05/20/2021 01:04 AM","12/15/2019 11:04 AM",,"Hard Bounce"
"08/04/2020 02:46 AM",,,"OptIn"
"06/06/2020 02:08 PM","10/22/2015 02:36 AM",,"OptIn"
"01/30/2021 12:30 PM","08/25/2018 12:08 AM",,"OptIn"
"05/27/2020 02:11 AM","09/06/2015 07:47 AM","05/27/2020 02:11 AM","OptOut"
"08/03/2020 07:58 PM",,,"OptIn"
"07/11/2021 08:29 AM","07/30/2020 03:24 PM",,"Soft Bounce"
"07/08/2020 04:26 PM","03/10/2016 01:11 AM",,"OptIn"
"06/26/2021 06:46 AM","05/25/2020 09:48 PM",,"OptIn"
"06/21/2021 01:33 PM","05/05/2020 08:01 AM",,"OptIn"
"08/08/2021 09:23 AM","11/29/2020 09:12 PM",,"OptIn"
"03/04/2020 10:41 PM","09/08/2014 08:59 PM",,"Soft Bounce"
"09/10/2021 04:47 AM",,,"OptOut"
"04/11/2021 09:21 AM","06/29/2019 09:52 PM",,"OptIn"
"05/17/2021 05:12 AM","12/03/2019 03:01 AM",,"OptIn"
"04/02/2021 11:42 AM","05/22/2019 02:05 AM",,"OptIn"
"03/17/2021 12:07 AM","03/11/2019 08:07 AM",,"OptIn"
"01/24/2020 03:58 AM","03/14/2014 11:22 PM","01/24/2020 03:58 AM","OptOut"
"06/28/2020 11:55 PM",,,"optout"
"10/01/2021 12:15 PM","07/23/2021 11:05 PM",,"OptIn"
"12/23/2020 10:47 AM","03/11/2018 10:06 PM",,"OptIn"
"01/14/2020 12:31 AM","01/29/2014 05:36 PM",,"OptIn"
"10/11/2021 07:12 AM","09/04/2021 03:44 PM",,"OptIn"
"06/11/2021 02:18 AM","03/20/2020 03:14 PM","06/11/2021 02:18 AM","Unsubscribed"
"03/25/2021 03:37 AM","04/15/2019 09:48 PM",,"OptIn"
"02/23/2020 03:46 AM","07/23/2014 07:43 PM",,"OptIn"
"03/23/2021 12:11 AM",,,"OptOut"
"12/07/2020 10:35 AM","01/01/2018 02:25 AM",,"OptIn"
"08/12/2021 06:52 PM","12/19/2020 01:15 AM",,"OptIn"
"11/06/2020 02:22 PM",,,"Unsubscribed"
"05/01/2020 06:29 PM",,,"OptIn"
"02/14/2021 05:01 PM",,,"OptOut"
"02/04/2021 05:13 PM","09/16/2018 04:09 PM",,"OptIn"
"03/16/2020 08:30 PM","10/30/2014 06:32 PM",,"OptIn"
"05/15/2020 02:22 AM","07/16/2015 12:31 AM",,"OptIn"
"09/28/2020 07:27 PM",,,"OptOut"
"09/01/2021 11:01 AM","03/14/2021 08:29 PM",,"OptIn"
"04/17/2020 02:43 PM","03/18/2015 02:31 AM",,"OptIn"
"03/19/2020 11:54 PM","11/13/2014 11:23 AM",,"OptIn"
"03/11/2021 08:19 PM","02/16/2019 08:13 PM",,"OptIn"
"01/13/2020 01:43 AM","01/25/2014 02:12 PM",,"OptIn"
"10/11/2021 11:40 PM","09/07/2021 03:37 PM","10/11/2021 11:40 PM","OptOut"
"06/22/2021 04:20 PM","05/10/2020 04:50 AM",,"Hard Bounce"
"06/01/2021 08:36 PM","02/09/2020 08:17 AM",,"OptIn"
"03/23/2021 01:38 AM","04/06/2019 07:48 PM",,"OptIn"
"02/21/2021 05:52 PM",,,"OptOut"
"09/14/2020 05:57 AM","12/29/2016 05:17 PM",,"OptIn"
"05/18/2021 11:32 PM",,,"Unsubscribed"
"10/05/2021 02:01 AM","08/08/2021 01:10 PM","10/05/2021 02:01 AM","OptOut"
"05/11/2020 02:50 AM",,,"Unsubscribed"
"03/27/2020 07:32 AM","12/15/2014 09:25 AM",,"OptIn"
"07/22/2020 05:48 PM",,,"OptOut"
"10/16/2020 06:53 AM","05/18/2017 11:56 AM",,"OptIn"
"07/13/2021 04:47 AM","08/07/2020 04:38 PM",,"OptIn"
"06/16/2021 01:13 AM","04/11/2020 06:52 AM",,"OptIn"
"09/10/2020 03:28 PM","12/14/2016 12:05 AM",,"OptIn"
"01/26/2020 11:50 PM",,,"OptOut"
"06/13/2021 09:45 AM","03/30/2020 06:04 PM",,"OptIn"
"03/27/2021 07:13 AM","04/25/2019 06:50 AM",,"OptIn"
"08/06/2021 04:04 PM","11/22/2020 09:00 AM",,"OptIn"
"09/09/2021 05:19 AM",,,"Unsubscribed"
"07/31/2021 11:31 AM","10/26/2020 09:08 AM",,"Hard Bounce"
"03/30/2021 07:43 AM",,,"Unsubscribed"
"11/25/2020 10:15 AM",,,"Unsubscribed"
"09/26/2020 06:34 AM","02/20/2017 04:06 AM",,"OptIn"
"03/14/2020 12:16 AM","10/18/2014 09:54 AM",,"OptIn"
"08/14/2020 07:37 AM",,"08/14/2020 07:37 AM","OptOut"
"08/02/2021 08:03 AM","11/03/2020 11:18 AM",,"OptIn"
"10/20/2020 11:44 PM","06/08/2017 12:07 AM",,"OptIn"
"07/20/2021 02:48 AM","09/06/2020 08:39 PM",,"OptIn"
"09/09/2020 09:58 PM","12/10/2016 07:46 PM",,"OptIn"
"10/10/2021 06:40 PM","09/02/2021 09:08 AM","10/10/2021 06:40 PM","OptOut"
"06/19/2021 02:45 PM",,,"OptOut"
"02/15/2021 05:28 PM","11/03/2018 03:38 PM",,"OptIn"
"01/02/2021 02:42 PM","04/25/2018 06:53 AM",,"OptIn"
"06/19/2021 05:07 AM",,,"Unsubscribed"
"08/03/2020 08:06 AM",,,"OptOut"
"05/08/2021 12:50 AM","10/24/2019 02:56 AM",,"OptIn"
"12/16/2020 12:30 PM","02/09/2018 04:52 PM",,"OptIn"
"06/09/2021 12:26 PM","03/13/2020 06:04 PM","06/09/2021 12:26 PM","Unsubscribed"
"05/05/2021 09:26 AM","10/12/2019 02:26 PM",,"OptIn"
"02/16/2021 04:45 PM","11/07/2018 09:09 PM",,"OptIn"
"03/02/2021 03:53 AM","01/05/2019 02:29 PM",,"OptIn"
"07/29/2021 06:19 PM","10/18/2020 10:27 PM",,"OptIn"
"10/20/2020 06:35 PM",,,"OptOut"
"04/08/2021 02:52 PM","06/17/2019 07:54 PM",,"OptIn"
"12/07/2020 10:18 AM","01/01/2018 01:13 AM","12/07/2020 10:18 AM","Unsubscribed"
"10/29/2020 12:59 PM","07/15/2017 11:39 AM",,"OptIn"
"02/12/2021 08:11 AM","10/19/2018 10:06 PM",,"OptIn"
"02/11/2020 11:09 PM","06/05/2014 12:12 AM",,"OptIn"
"07/08/2021 11:11 PM",,"07/08/2021 11:11 PM","Unsubscribed"
"06/27/2021 11:27 PM","06/02/2020 07:14 AM",,"OptIn"
"07/31/2020 11:52 AM",,,"Unsubscribed"
"03/13/2020 02:36 AM","10/14/2014 11:27 AM",,"OptIn"
"06/10/2021 05:07 PM",,,"OptOut"
"08/25/2021 10:39 AM","02/12/2021 06:12 AM",,"OptIn"
"01/11/2021 09:17 PM","06/04/2018 05:43 PM",,"OptIn"
"12/27/2020 12:38 AM","03/27/2018 01:33 PM","12/27/2020 12:38 AM","Unsubscribed"
"06/19/2021 11:24 PM",,,"OptOut"
"10/23/2020 07:55 PM","06/20/2017 09:28 AM",,"OptIn"
"07/02/2021 12:18 AM",,,"OptOut"
"05/11/2020 09:23 AM","06/29/2015 08:23 PM",,"OptIn"
"07/17/2021 04:45 AM","08/25/2020 03:10 AM",,"OptIn"
"03/01/2020 04:40 AM","08/23/2014 12:23 PM","03/01/2020 04:40 AM","OptOut"
"01/15/2021 10:09 AM","06/20/2018 03:48 AM",,"OptIn"
"05/26/2020 11:19 AM","09/03/2015 02:57 PM",,"OptIn"
"12/22/2020 01:20 PM","03/08/2018 12:32 AM",,"OptIn"
"05/17/2021 07:15 PM","12/05/2019 04:19 PM",,"OptIn"
"06/23/2021 09:31 PM","05/15/2020 12:09 PM",,"OptIn"
"07/04/2021 02:44 AM","06/29/2020 01:37 AM",,"OptIn"
"02/05/2020 04:07 PM","05/08/2014 01:30 PM",,"Hard Bounce"
"06/08/2021 02:03 PM","03/09/2020 04:28 PM",,"OptIn"
"08/09/2021 08:10 AM","12/04/2020 12:34 AM",,"OptIn"
"09/19/2020 02:46 PM","01/22/2017 03:07 AM",,"Soft Bounce"
"09/29/2020 08:57 PM","03/07/2017 08:50 PM",,"OptIn"
"07/26/2020 12:59 AM",,,"Unsubscribed"
"07/13/2020 03:23 PM","03/31/2016 05:00 PM",,"OptIn"
"05/27/2021 01:52 AM","01/15/2020 03:14 AM",,"OptIn"
"06/08/2021 08:13 AM","03/08/2020 03:01 PM",,"OptIn"
"02/11/2021 04:08 AM","10/14/2018 07:48 PM",,"OptIn"
"01/30/2021 02:49 AM","08/23/2018 05:55 AM",,"OptIn"
"07/10/2021 08:34 AM","07/26/2020 07:04 AM",,"OptIn"
"08/04/2020 11:16 AM",,,"OptIn"
"05/15/2021 12:16 AM","11/23/2019 12:09 PM",,"Hard Bounce"
"06/11/2021 12:23 AM",,,"Unsubscribed"
"05/06/2021 03:07 PM","10/17/2019 11:52 PM",,"OptIn"
"08/28/2021 09:50 PM","02/27/2021 08:56 AM",,"OptIn"
"09/06/2021 05:19 AM","04/04/2021 03:58 PM",,"OptIn"
"07/17/2021 11:41 PM","08/28/2020 01:43 PM",,"OptIn"
"04/30/2021 01:31 PM","09/21/2019 12:50 PM",,"Hard Bounce"
"09/19/2021 11:18 PM","06/03/2021 03:09 PM",,"OptIn"
"09/28/2020 11:19 PM","03/03/2017 10:29 PM",,"OptIn"
"12/28/2020 08:21 PM","04/04/2018 12:11 PM",,"OptIn"
"06/08/2021 07:39 AM","03/08/2020 12:32 PM",,"Hard Bounce"
"03/26/2021 10:21 AM","04/21/2019 11:52 AM",,"OptIn"
"03/21/2021 03:25 AM","03/29/2019 09:14 AM",,"OptIn"
"09/12/2021 03:23 AM","04/30/2021 11:38 AM",,"Hard Bounce"
"01/28/2021 07:13 AM","08/15/2018 07:49 AM",,"OptIn"
"06/28/2021 02:07 AM",,,"OptOut"
"03/31/2021 01:40 AM","05/11/2019 01:00 PM",,"OptIn"
"02/01/2021 10:38 AM",,,"OptOut"
"01/18/2021 12:21 PM","07/03/2018 03:25 PM",,"OptIn"
"11/15/2020 05:18 PM","09/28/2017 09:54 AM",,"OptIn"
"06/12/2021 12:54 AM","03/24/2020 05:48 PM",,"OptIn"
"04/14/2021 04:47 AM","07/12/2019 04:01 AM",,"OptIn"
"09/03/2020 09:18 PM","11/14/2016 12:51 PM",,"OptIn"
"09/24/2021 08:29 AM",,,"Unsubscribed"
"08/30/2020 06:16 PM","10/27/2016 01:57 PM",,"OptIn"
"10/11/2021 08:24 AM","09/04/2021 09:00 PM",,"OptIn"
"07/24/2020 11:45 AM",,,"OptIn"
"07/15/2020 08:59 PM","04/10/2016 10:48 AM",,"OptIn"
"11/09/2020 11:32 AM","09/01/2017 04:44 AM",,"OptIn"
"04/15/2021 08:53 PM",,,"Unsubscribed"
"06/13/2021 12:45 AM","03/29/2020 01:49 AM",,"OptIn"
"04/28/2020 02:42 PM",,,"OptIn"
"08/15/2020 09:50 PM",,,"OptIn"
"06/24/2021 03:43 AM",,,"OptOut"
"02/24/2021 10:25 AM","12/11/2018 02:57 PM",,"OptIn"
"06/17/2021 06:45 AM",,,"Unsubscribed"
"08/04/2021 04:30 AM","11/11/2020 01:14 PM",,"OptIn"
"06/07/2021 11:21 AM","03/04/2020 08:03 PM",,"OptIn"
"04/02/2020 12:56 PM",,,"OptIn"
"09/01/2021 12:18 PM","03/15/2021 02:03 AM",,"OptIn"
"09/29/2021 09:32 AM","07/14/2021 05:53 PM","09/29/2021 09:32 AM","Hard Bounce"
"12/10/2020 09:55 PM","01/16/2018 05:53 AM",,"OptIn"
"09/21/2021 03:07 PM","06/10/2021 08:52 PM",,"OptIn"
"05/18/2021 08:10 AM",,,"OptOut"
"06/08/2021 09:29 AM","03/08/2020 08:34 PM",,"OptIn"
"05/26/2020 07:01 AM",,,"OptOut"
"07/17/2020 05:40 PM",,,"Unsubscribed"
"05/14/2021 05:49 PM","11/22/2019 08:04 AM",,"OptIn"
"03/25/2021 07:23 AM","04/16/2019 02:13 PM",,"OptIn"
"06/27/2020 03:44 AM","01/19/2016 06:25 PM",,"OptIn"
"02/12/2020 01:21 AM",,,"Unsubscribed"
"06/25/2020 03:39 AM","01/11/2016 12:41 AM",,"OptIn"
"03/29/2021 06:22 AM","05/03/2019 04:09 PM",,"OptIn"
"10/19/2021 11:15 PM","10/12/2021 11:12 AM",,"Hard Bounce"
"03/12/2021 05:04 AM","02/18/2019 10:24 AM",,"OptIn"
"08/17/2021 07:08 PM","01/09/2021 09:49 PM",,"OptIn"
"04/30/2021 09:35 AM","09/20/2019 07:45 PM",,"OptIn"
"09/07/2021 06:03 PM","04/11/2021 08:10 AM",,"OptIn"
"02/03/2020 01:17 AM","04/27/2014 03:24 AM","02/03/2020 01:17 AM","Unsubscribed"
"07/01/2021 04:56 PM","06/18/2020 01:33 PM",,"OptIn"
"06/19/2021 11:30 PM","04/28/2020 10:07 AM","06/19/2021 11:30 PM","OptOut"
"08/12/2020 06:09 PM",,"08/12/2020 06:09 PM","Unsubscribed"
"07/20/2021 02:12 PM","09/08/2020 10:26 PM","07/20/2021 02:12 PM","Hard Bounce"
"10/20/2021 02:16 PM","10/15/2021 04:42 AM",,"OptIn"
"08/06/2021 06:38 AM","11/20/2020 03:49 PM",,"OptIn"
"08/29/2021 03:08 PM","03/02/2021 12:23 PM",,"OptIn"
"09/26/2021 03:42 AM","06/30/2021 02:26 PM",,"OptIn"
"04/19/2021 10:03 AM","08/03/2019 10:20 PM",,"OptIn"
"04/13/2021 09:02 AM","07/08/2019 01:52 PM",,"OptIn"
"05/11/2021 08:26 PM","11/09/2019 05:25 PM",,"OptIn"
"11/13/2020 03:26 AM","09/17/2017 04:07 AM",,"OptIn"
"11/16/2020 12:23 PM",,,"Hard Bounce"
"07/15/2021 10:29 AM",,,"Unsubscribed"
"11/24/2020 10:51 PM","11/07/2017 03:11 PM",,"OptIn"
"04/15/2020 07:32 AM","03/08/2015 01:50 AM",,"OptIn"
"03/25/2021 12:21 PM","04/17/2019 11:52 AM",,"OptIn"
"07/16/2021 12:03 PM","08/22/2020 02:21 AM",,"OptIn"
"07/11/2020 12:53 AM","03/20/2016 07:25 AM",,"OptIn"
"11/04/2020 03:44 AM",,,"optout"
"09/16/2021 10:01 PM","05/21/2021 07:33 AM",,"Hard Bounce"
"09/24/2021 09:59 AM",,,"Unsubscribed"
"08/24/2020 01:31 PM",,,"OptIn"
"08/11/2020 02:44 PM",,,"OptIn"
"05/17/2021 04:17 PM","12/05/2019 03:25 AM",,"OptIn"
"04/30/2021 05:34 PM","09/22/2019 06:31 AM",,"OptIn"
"01/27/2021 08:59 AM",,,"Unsubscribed"
"03/12/2021 06:47 AM","02/18/2019 05:51 PM",,"Hard Bounce"
"08/29/2020 03:02 PM","10/22/2016 03:09 PM",,"Hard Bounce"
"03/07/2021 03:41 PM","01/29/2019 01:18 PM","03/07/2021 03:41 PM","OptOut"
"07/26/2021 06:15 PM",,,"Unsubscribed"
"07/13/2021 06:42 AM","08/08/2020 12:56 AM",,"OptIn"
"07/30/2021 04:35 AM","10/20/2020 07:12 PM",,"OptIn"
"08/29/2020 04:30 AM","10/20/2016 05:11 PM",,"OptIn"
"07/22/2020 05:29 AM",,,"OptIn"
"09/20/2020 02:49 PM","01/26/2017 12:00 PM",,"OptIn"
"08/05/2021 11:32 AM",,,"OptOut"
"06/23/2020 06:50 PM",,,"Unsubscribed"
"10/02/2020 11:00 AM","03/19/2017 03:25 AM",,"OptIn"
"08/25/2020 10:21 PM","10/06/2016 12:23 PM",,"OptIn"
"07/27/2021 02:12 AM","10/07/2020 06:46 AM",,"OptIn"
"03/17/2021 10:23 AM","03/13/2019 04:54 AM",,"OptIn"
"05/17/2021 01:53 AM",,,"OptOut"
"10/03/2021 10:42 PM",,,"Unsubscribed"
"05/25/2020 12:19 AM","08/28/2015 06:17 AM",,"OptIn"
"09/27/2020 08:17 AM","02/24/2017 08:14 PM",,"OptIn"
"07/17/2021 10:08 PM","08/28/2020 06:58 AM",,"OptIn"
"03/17/2020 11:15 PM",,,"OptOut"
"05/05/2021 01:14 AM","10/11/2019 02:40 AM",,"OptIn"
"08/14/2021 12:30 AM","12/24/2020 10:28 AM",,"OptIn"
"12/13/2020 04:20 PM","01/28/2018 07:35 AM",,"OptIn"
"05/17/2020 06:52 AM","07/25/2015 01:29 PM",,"OptIn"
"06/29/2021 08:33 AM","06/08/2020 07:35 AM",,"OptIn"
"12/20/2020 03:19 AM","02/25/2018 11:29 AM",,"OptIn"
"10/29/2020 01:30 AM","07/13/2017 09:34 AM",,"OptIn"
"04/03/2021 09:06 AM","05/25/2019 11:25 PM",,"OptIn"
"09/11/2021 10:04 AM","04/27/2021 08:03 AM",,"OptIn"
"02/15/2021 03:55 PM","11/03/2018 08:49 AM",,"OptIn"
"07/16/2021 12:23 AM","08/19/2020 11:25 PM",,"OptIn"
"07/30/2021 12:44 PM","10/22/2020 06:44 AM",,"OptIn"
"05/20/2020 06:02 PM","08/09/2015 04:12 PM","05/20/2020 06:02 PM","Unsubscribed"
"07/24/2020 09:24 AM",,,"OptIn"
"05/04/2021 08:55 PM","10/10/2019 07:49 AM",,"OptIn"
"05/07/2021 10:44 PM","10/23/2019 05:47 PM",,"OptIn"
"01/17/2021 02:16 PM",,,"Unsubscribed"
"03/20/2021 05:21 PM","03/27/2019 01:20 PM",,"OptIn"
"07/11/2021 01:46 PM",,"07/11/2021 01:46 PM","Unsubscribed"
"07/11/2020 01:02 AM","03/20/2016 08:06 AM",,"OptIn"
"06/11/2021 11:41 AM",,,"Unsubscribed"
"05/31/2021 10:03 AM",,,"Unsubscribed"
"09/14/2021 02:07 AM","05/08/2021 11:26 PM",,"OptIn"
"09/14/2021 05:17 AM","05/09/2021 01:16 PM",,"OptIn"
"07/20/2020 04:16 PM",,"07/20/2020 04:16 PM","Unsubscribed"
"08/30/2020 07:12 PM","10/27/2016 06:01 PM",,"OptIn"
"09/08/2021 03:10 PM","04/15/2021 04:18 AM","09/08/2021 03:10 PM","Unsubscribed"
"08/07/2020 11:53 AM",,,"OptOut"
"07/10/2021 06:15 PM","07/28/2020 01:21 AM",,"OptIn"
"07/07/2021 05:23 AM","07/12/2020 03:12 PM",,"OptIn"
"08/16/2021 01:21 AM","01/02/2021 07:32 AM",,"OptIn"
"01/13/2021 04:40 AM","06/10/2018 10:31 AM",,"OptIn"
"07/18/2021 03:10 PM","08/31/2020 09:16 AM",,"OptIn"
"06/12/2021 09:55 AM",,"06/12/2021 09:55 AM","OptOut"
"04/19/2021 08:10 AM","08/03/2019 02:08 PM",,"OptIn"
"01/05/2021 07:25 PM","05/09/2018 05:30 AM",,"OptIn"
"10/05/2020 11:30 AM",,,"OptOut"
"09/12/2021 04:56 AM","04/30/2021 06:20 PM",,"OptIn"
"04/27/2020 01:31 AM",,,"OptOut"
"06/15/2021 04:34 AM","04/07/2020 12:48 PM",,"OptIn"
"06/01/2021 11:15 PM","02/09/2020 07:50 PM",,"Hard Bounce"
"01/11/2021 01:33 PM",,,"OptOut"
"05/06/2021 05:33 AM","10/16/2019 06:12 AM",,"OptIn"
"07/12/2020 10:20 PM",,,"Unsubscribed"
"11/06/2020 04:29 AM","08/17/2017 07:57 PM",,"OptIn"
"06/09/2021 03:17 PM","03/14/2020 06:31 AM",,"OptIn"
"05/11/2020 08:41 AM",,,"Unsubscribed"
"01/02/2021 02:44 PM",,,"OptOut"
"04/23/2021 08:33 PM","08/23/2019 06:52 AM",,"OptIn"
"05/27/2021 05:32 AM",,,"OptOut"
"09/28/2021 07:00 AM",,,"OptOut"
"02/17/2021 02:05 AM","11/09/2018 01:51 PM","02/17/2021 02:05 AM","Hard Bounce"
"12/02/2020 01:30 AM",,,"OptOut"
"05/11/2021 09:16 AM","11/07/2019 04:43 PM",,"OptIn"
"08/29/2021 11:27 AM",,,"OptOut"
"05/17/2021 12:11 AM",,,"OptOut"
"02/10/2021 05:59 PM","10/12/2018 11:32 PM",,"OptIn"
"07/21/2021 08:49 PM","09/14/2020 11:57 AM",,"OptIn"
"04/07/2021 05:21 AM","06/11/2019 05:47 PM",,"OptIn"
"09/25/2021 08:01 PM","06/29/2021 04:52 AM",,"Hard Bounce"
"07/27/2021 07:58 PM","10/10/2020 12:15 PM",,"OptIn"
"09/03/2021 10:53 PM","03/25/2021 05:33 PM",,"OptIn"
"10/16/2021 06:58 PM",,,"OptOut"
"10/25/2020 02:49 PM","06/28/2017 08:56 AM",,"Hard Bounce"
"05/01/2021 12:22 PM",,,"Unsubscribed"
"06/12/2021 11:32 PM","03/28/2020 08:29 PM",,"OptIn"
"06/14/2020 05:34 PM","11/26/2015 01:59 PM",,"Hard Bounce"
"02/12/2021 06:57 AM","10/19/2018 04:44 PM",,"OptIn"
"07/12/2021 08:47 AM",,,"OptOut"
"10/29/2020 02:05 PM","07/15/2017 04:28 PM","10/29/2020 02:05 PM","Unsubscribed"
"01/22/2021 09:36 PM",,,"OptOut"
"03/07/2020 04:13 AM","09/18/2014 02:25 PM",,"OptIn"
"08/30/2021 06:41 PM","03/07/2021 12:34 PM",,"OptIn"
"10/06/2021 01:40 AM","08/12/2021 08:16 PM","10/06/2021 01:40 AM","Unsubscribed"
"06/27/2021 06:39 PM","06/01/2020 10:17 AM",,"OptIn"
"03/05/2020 11:26 AM","09/11/2014 04:34 AM",,"Hard Bounce"
"08/01/2021 12:55 AM",,,"Unsubscribed"
"09/10/2021 02:25 PM","04/23/2021 06:21 PM",,"OptIn"
"06/22/2021 04:21 PM","05/10/2020 04:53 AM",,"OptIn"
"04/28/2021 01:43 PM","09/12/2019 08:25 PM",,"OptIn"
"10/12/2021 06:16 PM","09/11/2021 12:42 AM","10/12/2021 06:16 PM","OptOut"
"08/19/2021 06:10 AM","01/16/2021 06:35 AM",,"OptIn"
"08/11/2020 10:40 AM",,,"OptIn"
"05/13/2021 12:08 AM",,,"OptOut"
"04/13/2021 01:53 AM","07/07/2019 06:41 AM",,"OptIn"
"08/10/2020 04:52 PM",,,"Hard Bounce"
"04/14/2021 02:08 PM","07/13/2019 08:48 PM",,"OptIn"
"12/14/2020 01:33 PM",,,"Unsubscribed"
"10/13/2020 04:12 PM",,,"Unsubscribed"
"05/05/2021 10:35 PM","10/14/2019 11:46 PM",,"OptIn"
"08/21/2021 04:54 PM","01/26/2021 10:43 PM","08/21/2021 04:54 PM","Soft Bounce"
"06/02/2021 07:34 PM","02/13/2020 12:28 PM",,"OptIn"
"08/04/2021 03:46 AM",,,"OptOut"
"08/02/2021 03:16 PM",,,"Unsubscribed"
"07/31/2021 04:19 PM","10/27/2020 06:03 AM",,"Hard Bounce"
"07/19/2021 02:58 PM",,,"Unsubscribed"
"04/23/2021 12:38 AM","08/19/2019 03:56 PM",,"OptIn"
"06/08/2021 07:09 AM",,,"OptOut"
"12/10/2020 12:19 AM","01/12/2018 07:40 AM",,"Hard Bounce"
"04/14/2021 09:17 PM","07/15/2019 03:57 AM",,"OptIn"
"02/07/2021 02:36 PM","09/29/2018 06:41 AM",,"OptIn"
"05/22/2020 07:16 AM","08/16/2015 10:33 AM",,"OptIn"
"06/21/2021 09:08 PM",,,"OptOut"
"12/17/2020 11:52 PM","02/16/2018 03:09 AM",,"OptIn"
"08/05/2021 02:54 AM",,,"OptOut"
"08/18/2020 10:41 AM",,,"OptIn"
"04/24/2021 10:34 AM",,,"OptOut"
"12/16/2020 08:40 AM","02/09/2018 12:11 AM",,"OptIn"
"10/18/2021 06:41 PM","10/07/2021 06:33 AM",,"OptIn"
"07/09/2021 09:20 AM","07/22/2020 01:44 AM",,"OptIn"
"02/19/2021 12:35 PM","11/20/2018 05:01 AM",,"OptIn"
"02/27/2021 01:48 AM","12/23/2018 03:22 AM",,"OptIn"
"08/12/2020 10:41 AM",,,"Unsubscribed"
"02/12/2021 09:58 AM",,,"Unsubscribed"
"05/17/2021 11:11 PM",,,"Unsubscribed"
"06/01/2020 08:04 AM",,,"Unsubscribed"
"01/16/2020 03:04 AM","02/07/2014 10:06 PM","01/16/2020 03:04 AM","Hard Bounce"
"09/20/2020 09:11 AM","01/25/2017 11:27 AM",,"Hard Bounce"
"12/07/2020 08:42 AM","12/31/2017 06:14 PM",,"OptIn"
"01/13/2021 02:23 PM","06/12/2018 04:55 AM",,"OptIn"
"09/07/2020 02:46 PM","11/30/2016 07:03 PM",,"Hard Bounce"
"08/22/2021 10:10 AM","01/30/2021 02:01 AM",,"OptIn"
"08/20/2020 06:27 AM",,"08/20/2020 06:27 AM","Unsubscribed"
"05/22/2020 02:39 PM","08/17/2015 06:45 PM",,"OptIn"
"08/01/2021 01:10 PM",,,"Unsubscribed"
"11/06/2020 04:30 AM","08/17/2017 08:03 PM",,"OptIn"
"07/07/2021 10:21 PM",,,"OptOut"
"03/19/2021 05:46 AM",,,"Unsubscribed"
"06/08/2021 08:42 AM","03/08/2020 05:09 PM",,"OptIn"
"07/19/2021 11:06 AM",,,"OptOut"
