"ID","MONTHS_IN_BUSINESS","OPERATOR_TYPE","EMPLOYEE_TYPE","EMPLOYEE_COUNT","NUM_ACCOUNTS_SERVED","SECTOR","CREDIT_TERM_REQUESTED","LOCATIONS_NUMBER_SERVICED","OWN_REALTY","CAPITAL_GAIN","CAPITAL_LOSS","CONTRACTS_AWARDED","NATIVE_COUNTRY"
377869,28,"Private","Some-college",10,6,"Sales","24+",1,"N",4064,0,25,"United-States"
102864,36,"Private","HS-grad",9,5,"Machine-op-inspct","12",1,"N",0,0,40,"United-States"
95647,53,"Private","9th",5,6,"Handlers-cleaners","3",1,"Y",0,0,50,"United-States"
303090,56,"Self-emp-inc","Some-college",10,6,"Sales","3",1,"Y",0,0,50,"United-States"
197371,49,"State","Assoc-voc",11,6,"Craft-repair","3",2,"Y",0,0,40,"United-States"
247552,55,"Private","Some-college",10,6,"Sales","3",1,"Y",0,0,56,"United-States"
102632,22,"Private","HS-grad",9,5,"Craft-repair","6",1,"Y",0,0,41,"United-States"
199915,21,"Private","Some-college",10,5,"Other-service","12",1,"N",0,0,40,"United-States"
118853,40,"Private","Bachelors",13,6,"Exec-managerial","3",1,"Y",0,0,60,"United-States"
77143,30,"Private","Bachelors",13,5,"Exec-managerial","12",2,"Y",0,0,40,"Germany"
267989,29,"Regional","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,50,"United-States"
301606,19,"Private","Some-college",10,5,"Other-service","12",2,"Y",0,0,35,"United-States"
287828,47,"Private","Bachelors",13,6,"Exec-managerial","24+",1,"N",0,0,40,"United-States"
111697,20,"Private","Some-college",10,5,"Adm-clerical","12",1,"N",0,1719,28,"United-States"
114937,31,"Private","Assoc-acdm",12,6,"Adm-clerical","3",1,"Y",0,0,40,"United-States"
129305,35,"?","HS-grad",9,6,"?","3",1,"Y",0,0,40,"United-States"
365739,39,"Private","Some-college",10,1,"Craft-repair","6",1,"Y",0,0,40,"United-States"
69621,28,"Private","Assoc-acdm",12,5,"Sales","6",1,"N",0,0,60,"United-States"
43323,24,"Private","HS-grad",9,5,"Other-service","6",1,"N",0,1762,40,"United-States"
120985,38,"Self-emp-not-inc","HS-grad",9,6,"Craft-repair","3",1,"Y",4386,0,35,"United-States"
254202,37,"Private","Bachelors",13,6,"Sales","3",1,"Y",0,0,50,"United-States"
146195,46,"Private","Assoc-acdm",12,1,"Tech-support","6",2,"N",0,0,36,"United-States"
125933,38,"Global","Masters",14,6,"Prof-specialty","3",1,"Y",0,0,40,"Iran"
56920,43,"Self-emp-not-inc","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,60,"United-States"
163127,27,"Private","Assoc-voc",11,6,"Adm-clerical","24+",1,"N",0,0,35,"United-States"
34310,20,"Private","Some-college",10,5,"Sales","12",1,"Y",0,0,20,"United-States"
81973,49,"Private","Some-college",10,6,"Craft-repair","3",4,"Y",0,0,40,"United-States"
66614,61,"Self-emp-inc","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
232782,27,"Private","Some-college",10,5,"Sales","12",1,"N",0,0,40,"United-States"
316868,19,"Private","Some-college",10,5,"Other-service","12",1,"Y",0,0,30,"Mexico"
196584,45,"Private","Assoc-voc",11,5,"Prof-specialty","6",1,"N",0,1564,40,"United-States"
105376,70,"Private","Some-college",10,5,"Tech-support","9",1,"Y",0,0,40,"United-States"
185814,31,"Private","HS-grad",9,5,"Transport-moving","18",2,"N",0,0,30,"United-States"
175374,22,"Private","Some-college",10,6,"Other-service","3",1,"Y",0,0,24,"United-States"
108293,36,"Private","HS-grad",9,0,"Other-service","18",1,"N",0,0,24,"United-States"
181232,64,"Private","11th",7,6,"Craft-repair","3",1,"Y",0,2179,40,"United-States"
174662,43,"?","Some-college",10,1,"?","6",1,"N",0,0,40,"United-States"
186009,47,"State","Some-college",10,1,"Adm-clerical","18",1,"N",0,0,38,"Mexico"
198183,34,"Private","HS-grad",9,5,"Adm-clerical","6",1,"N",0,0,40,"United-States"
163003,33,"Private","Bachelors",13,5,"Exec-managerial","9",4,"N",0,0,40,"Philippines"
296158,21,"Private","HS-grad",9,5,"Craft-repair","12",1,"Y",0,0,35,"United-States"
252903,52,"?","HS-grad",9,1,"?","6",1,"Y",0,0,45,"United-States"
187715,48,"Private","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,46,"United-States"
214542,23,"Private","Bachelors",13,5,"Handlers-cleaners","6",1,"Y",0,0,40,"United-States"
494223,71,"Self-emp-not-inc","Some-college",10,4,"Sales","18",2,"Y",0,1816,2,"United-States"
191535,29,"Private","HS-grad",9,1,"Craft-repair","6",1,"Y",0,0,60,"United-States"
228456,42,"Private","Bachelors",13,4,"Other-service","9",2,"Y",0,0,50,"United-States"
38317,68,"?","1st-4th",2,1,"?","6",1,"N",0,0,20,"United-States"
252752,25,"Private","HS-grad",9,5,"Other-service","18",1,"N",0,0,40,"United-States"
78374,44,"Self-emp-inc","Masters",14,1,"Exec-managerial","18",4,"N",0,0,40,"United-States"
88419,28,"Private","HS-grad",9,5,"Exec-managerial","6",4,"N",0,0,40,"England"
201080,45,"Self-emp-not-inc","Masters",14,6,"Sales","3",1,"Y",0,0,40,"United-States"
207157,36,"Private","Some-college",10,1,"Other-service","18",1,"N",0,0,40,"Mexico"
235485,39,"Global","Assoc-acdm",12,5,"Exec-managerial","6",1,"Y",0,0,42,"United-States"
102628,46,"Regional","Masters",14,0,"Protective-serv","18",1,"Y",0,0,40,"United-States"
25828,18,"Private","11th",7,5,"Handlers-cleaners","12",1,"Y",0,0,16,"United-States"
54826,66,"State","Assoc-voc",11,0,"Prof-specialty","6",1,"N",0,0,20,"United-States"
124953,27,"Private","HS-grad",9,5,"Other-service","6",1,"Y",0,1980,40,"United-States"
175325,28,"Regional","HS-grad",9,6,"Protective-serv","3",1,"Y",0,0,40,"United-States"
96062,51,"Private","Some-college",10,6,"Sales","3",1,"Y",0,1977,40,"United-States"
428030,27,"Private","Bachelors",13,5,"Craft-repair","6",1,"Y",0,0,50,"United-States"
149624,28,"Regional","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
253814,27,"Private","HS-grad",9,2,"Sales","18",1,"N",0,0,25,"United-States"
312956,21,"Private","HS-grad",9,5,"Craft-repair","12",2,"Y",0,0,40,"United-States"
483777,34,"Private","HS-grad",9,5,"Handlers-cleaners","6",2,"Y",0,0,40,"United-States"
183930,18,"Private","HS-grad",9,5,"Other-service","12",1,"Y",0,0,12,"United-States"
37274,33,"Private","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,65,"United-States"
181344,44,"State","Some-college",10,6,"Exec-managerial","3",2,"Y",0,0,38,"United-States"
114580,43,"Private","Some-college",10,1,"Adm-clerical","6",1,"N",0,0,40,"United-States"
633742,30,"Private","Some-college",10,5,"Craft-repair","6",2,"Y",0,0,45,"United-States"
286370,40,"Private","7th-8th",4,6,"Machine-op-inspct","3",1,"Y",0,0,40,"Mexico"
29054,37,"Global","Some-college",10,6,"Adm-clerical","3",1,"Y",0,0,42,"United-States"
304030,34,"Private","HS-grad",9,6,"Adm-clerical","3",2,"Y",0,0,40,"United-States"
143129,41,"Self-emp-not-inc","Bachelors",13,1,"Exec-managerial","6",1,"N",0,0,40,"United-States"
135105,53,"?","Bachelors",13,1,"?","6",1,"N",0,0,50,"United-States"
99928,31,"Private","Masters",14,6,"Prof-specialty","24+",1,"N",0,0,50,"United-States"
109567,58,"Regional","Doctorate",16,6,"Prof-specialty","3",1,"Y",0,0,1,"United-States"
155222,38,"Private","Some-college",10,1,"Machine-op-inspct","6",2,"N",0,0,28,"United-States"
159567,24,"Private","Some-college",10,6,"Machine-op-inspct","3",1,"Y",0,0,40,"United-States"
523910,41,"State","Bachelors",13,6,"Craft-repair","3",2,"Y",0,0,40,"United-States"
120939,47,"Private","Some-college",10,6,"Tech-support","3",1,"Y",0,0,45,"United-States"
130760,41,"Global","Bachelors",13,6,"Tech-support","3",1,"Y",0,0,24,"United-States"
197387,23,"Private","5th-6th",3,6,"Transport-moving","9",1,"Y",0,0,40,"Mexico"
99374,36,"Private","Some-college",10,1,"Craft-repair","6",1,"Y",0,0,40,"United-States"
56795,40,"Global","Masters",14,5,"Exec-managerial","6",1,"N",14084,0,55,"United-States"
138992,35,"Private","Masters",14,6,"Prof-specialty","9",1,"Y",7298,0,40,"United-States"
32921,24,"Self-emp-not-inc","HS-grad",9,5,"Sales","6",1,"Y",0,0,40,"United-States"
397317,26,"Private","Masters",14,5,"Prof-specialty","6",1,"N",0,1876,40,"United-States"
170653,19,"?","HS-grad",9,5,"?","12",1,"Y",0,0,40,"Italy"
259323,51,"Private","Bachelors",13,6,"Exec-managerial","3",1,"Y",0,0,50,"United-States"
254817,42,"State","Some-college",10,5,"Prof-specialty","6",1,"N",0,1340,40,"United-States"
48211,37,"Regional","HS-grad",9,1,"Adm-clerical","18",1,"N",0,0,35,"United-States"
140164,18,"Private","11th",7,5,"Sales","12",1,"N",0,0,40,"United-States"
128757,36,"Private","Bachelors",13,6,"Other-service","3",2,"Y",7298,0,36,"United-States"
36270,35,"Private","HS-grad",9,1,"Craft-repair","6",1,"Y",0,0,60,"United-States"
210563,58,"Self-emp-inc","HS-grad",9,6,"Sales","24+",1,"N",15024,0,35,"United-States"
65368,17,"Private","11th",7,5,"Sales","12",1,"N",0,0,12,"United-States"
160943,44,"State","HS-grad",9,6,"Transport-moving","3",2,"Y",0,0,40,"United-States"
208358,37,"Private","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
153790,35,"Private","Some-college",10,5,"Sales","6",5,"N",0,0,40,"United-States"
85815,60,"Private","HS-grad",9,6,"Craft-repair","3",4,"Y",0,0,40,"United-States"
125417,54,"Self-emp-inc","7th-8th",4,6,"Machine-op-inspct","3",1,"Y",0,0,40,"United-States"
635913,37,"Private","Bachelors",13,5,"Exec-managerial","6",2,"Y",0,0,60,"United-States"
313321,50,"Private","Assoc-acdm",12,1,"Sales","6",1,"N",0,0,40,"United-States"
182609,38,"Private","Bachelors",13,6,"Sales","3",1,"Y",0,0,50,"Poland"
109434,45,"Private","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,55,"United-States"
255004,25,"Private","10th",6,5,"Craft-repair","6",1,"Y",0,0,40,"United-States"
197860,31,"Private","Some-college",10,6,"Handlers-cleaners","3",1,"Y",0,0,40,"United-States"
187656,64,"?","1st-4th",2,1,"?","6",1,"Y",0,0,40,"United-States"
51744,90,"Private","HS-grad",9,5,"Other-service","6",2,"Y",0,2206,40,"United-States"
176681,54,"Private","HS-grad",9,6,"Adm-clerical","3",2,"Y",0,0,20,"United-States"
140359,53,"State","Preschool",1,5,"Machine-op-inspct","6",1,"N",0,0,35,"United-States"
243313,18,"Private","HS-grad",9,5,"Sales","12",1,"N",0,0,40,"United-States"
24215,60,"?","10th",6,1,"?","6",5,"N",0,0,10,"United-States"
167687,66,"Self-emp-not-inc","HS-grad",9,6,"Farming-fishing","3",1,"Y",1409,0,50,"United-States"
314209,75,"Private","Assoc-voc",11,0,"Adm-clerical","6",1,"N",0,0,20,"Columbia"
176796,65,"Private","HS-grad",9,1,"Adm-clerical","6",1,"N",0,0,40,"United-States"
538583,35,"Private","11th",7,4,"Transport-moving","6",2,"Y",3674,0,40,"United-States"
130408,41,"Private","HS-grad",9,1,"Sales","18",2,"N",0,0,38,"United-States"
159732,25,"Private","Some-college",10,5,"Adm-clerical","6",1,"Y",0,0,42,"United-States"
110978,33,"Private","Some-college",10,1,"Craft-repair","9",3,"N",0,0,40,"United-States"
76714,28,"Private","Prof-school",15,5,"Prof-specialty","6",1,"Y",0,0,55,"United-States"
268700,59,"Regional","HS-grad",9,6,"Other-service","3",1,"Y",0,0,40,"United-States"
170525,40,"Regional","Some-college",10,5,"Adm-clerical","6",1,"N",0,0,38,"United-States"
180138,41,"Private","Bachelors",13,6,"Exec-managerial","3",1,"Y",0,0,50,"Iran"
115076,38,"State","Masters",14,6,"Exec-managerial","3",1,"Y",0,0,70,"United-States"
115458,23,"Private","HS-grad",9,5,"Transport-moving","12",1,"Y",0,0,40,"United-States"
347890,40,"Private","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
196001,41,"Self-emp-not-inc","HS-grad",9,6,"Other-service","24+",1,"N",0,0,20,"United-States"
273905,24,"Regional","Assoc-acdm",12,6,"Protective-serv","3",1,"Y",0,0,50,"United-States"
119156,20,"?","Some-college",10,5,"?","12",1,"Y",0,0,20,"United-States"
179488,38,"Private","Some-college",10,1,"Craft-repair","6",1,"Y",0,1741,40,"United-States"
203580,56,"Private","HS-grad",9,6,"Adm-clerical","3",1,"Y",0,0,35,"?"
236596,58,"Private","HS-grad",9,6,"Adm-clerical","3",1,"Y",0,0,45,"United-States"
183916,32,"Private","HS-grad",9,5,"Other-service","6",1,"N",0,0,34,"United-States"
207578,40,"Private","Assoc-acdm",12,6,"Tech-support","3",1,"Y",0,1977,60,"United-States"
153141,45,"Private","HS-grad",9,6,"Adm-clerical","3",1,"Y",0,0,40,"?"
112763,41,"Private","Prof-school",15,6,"Prof-specialty","24+",1,"N",0,0,40,"United-States"
390781,42,"Private","Bachelors",13,6,"Adm-clerical","24+",2,"N",0,0,40,"United-States"
171328,59,"State","10th",6,0,"Other-service","18",2,"N",0,0,30,"United-States"
27382,19,"State","Some-college",10,5,"Adm-clerical","12",1,"Y",0,0,40,"United-States"
259014,58,"Private","Some-college",10,5,"Transport-moving","6",1,"Y",0,0,20,"United-States"
303044,42,"Self-emp-not-inc","HS-grad",9,6,"Farming-fishing","3",4,"Y",0,0,40,"Cambodia"
117789,20,"Private","HS-grad",9,5,"Other-service","12",1,"N",0,0,40,"United-States"
172579,32,"Private","HS-grad",9,4,"Other-service","6",1,"N",0,0,30,"United-States"
187666,45,"Private","Assoc-voc",11,0,"Exec-managerial","6",1,"N",0,0,45,"United-States"
204518,50,"Private","7th-8th",4,1,"Craft-repair","6",1,"Y",0,0,40,"United-States"
150042,36,"Private","Bachelors",13,1,"Prof-specialty","12",1,"N",0,0,40,"United-States"
98092,45,"Private","HS-grad",9,6,"Sales","3",1,"Y",0,0,60,"United-States"
245918,17,"Private","11th",7,5,"Other-service","12",1,"Y",0,0,12,"United-States"
146013,59,"Private","Some-college",10,6,"Sales","3",1,"Y",4064,0,40,"United-States"
378322,26,"Private","11th",7,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
257295,37,"Self-emp-inc","Some-college",10,6,"Exec-managerial","3",4,"Y",0,0,75,"Thailand"
218956,19,"?","Some-college",10,5,"?","12",1,"Y",0,0,24,"Canada"
21174,64,"Private","HS-grad",9,6,"Exec-managerial","3",1,"Y",0,0,40,"United-States"
185480,33,"Private","Bachelors",13,5,"Prof-specialty","6",1,"N",0,0,45,"United-States"
222205,33,"Private","HS-grad",9,6,"Craft-repair","24+",1,"N",0,0,40,"United-States"
69867,61,"Private","HS-grad",9,6,"Exec-managerial","3",1,"Y",0,0,40,"United-States"
191260,17,"Private","9th",5,5,"Other-service","12",1,"Y",1055,0,24,"United-States"
30653,50,"Self-emp-not-inc","Masters",14,6,"Farming-fishing","3",1,"Y",2407,0,98,"United-States"
209109,27,"State","Masters",14,5,"Prof-specialty","12",1,"Y",0,0,35,"United-States"
70377,30,"Private","HS-grad",9,1,"Prof-specialty","12",1,"N",0,0,40,"United-States"
477983,43,"Private","HS-grad",9,6,"Handlers-cleaners","3",2,"Y",0,0,40,"United-States"
170924,44,"Private","Some-college",10,6,"Craft-repair","3",1,"Y",7298,0,40,"United-States"
190174,35,"Private","Some-college",10,5,"Exec-managerial","6",1,"N",0,0,40,"United-States"
193787,25,"Private","Some-college",10,5,"Tech-support","12",1,"N",0,0,40,"United-States"
279472,24,"Private","Some-college",10,6,"Machine-op-inspct","24+",1,"N",7298,0,48,"United-States"
34918,22,"Private","Bachelors",13,5,"Prof-specialty","6",1,"N",0,0,15,"Germany"
97688,42,"State","Some-college",10,6,"Craft-repair","3",1,"Y",5178,0,40,"United-States"
175413,34,"Private","Assoc-acdm",12,1,"Sales","18",2,"N",0,0,45,"United-States"
173960,60,"Private","Bachelors",13,1,"Prof-specialty","6",1,"N",0,0,42,"United-States"
205759,21,"Private","HS-grad",9,5,"Handlers-cleaners","12",1,"Y",0,0,40,"United-States"
425161,57,"Global","Masters",14,6,"Sales","3",1,"Y",15024,0,40,"United-States"
220531,41,"Private","Prof-school",15,6,"Prof-specialty","3",1,"Y",0,0,60,"United-States"
176609,50,"Private","Some-college",10,1,"Other-service","6",1,"Y",0,0,45,"United-States"
371987,25,"Private","Bachelors",13,5,"Exec-managerial","6",1,"N",0,0,40,"United-States"
193884,50,"Private","7th-8th",4,6,"Craft-repair","3",1,"Y",0,0,40,"Ecuador"
