"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"none","Yes","bad",10372
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"none","Yes","good",10385
"Negative","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"none","Yes","bad",10398
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",2,"skilled employee / official",1,"none","Yes","good",10411
"Negative","no credits taken / all credits paid back duly","unknown / no savings account","less than 1 year",2,"male (single)","none",3,"car or other",25,"bank","own",3,"skilled employee / official",1,"none","Yes","good",10424
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",2,"unknown / no property",44,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",10437
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",3,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",10450
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",4,"car or other",48,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10463
"Negative","existing credits paid back duly till now","500 to 1000","1 to 4 years",2,"male (single)","none",3,"real estate",44,"none","rent",1,"skilled employee / official",2,"none","Yes","good",10476
"Negative","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",1,"male (single)","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none","No","good",10489
"0 - 200","critical account/ other credits existing (not at this bank)","100 to 500","less than 1 year",3,"male (single)","none",4,"building society savings agreement/ life insurance",44,"none","own",1,"skilled employee / official",1,"none","Yes","good",10502
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",2,"male (married/widowed)","none",1,"car or other",26,"none","own",2,"skilled employee / official",1,"none","No","good",10515
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",1,"male (single)","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",10528
"No checking account","no credits taken / all credits paid back duly","less than 100","more than 7 years",4,"male (married/widowed)","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"none","Yes","good",10541
"Over 200","all credits at this bank paid back duly","more than 1000","1 to 4 years",3,"female (divorced/separated/married)","none",3,"real estate",42,"none","rent",2,"skilled employee / official",1,"none","Yes","good",10554
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","guarantor",2,"real estate",34,"none","own",1,"skilled employee / official",1,"none","Yes","good",10567
"Negative","delay in paying off in the past","less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",10580
"0 - 200","existing credits paid back duly till now","more than 1000","less than 1 year",3,"male (married/widowed)","none",3,"real estate",36,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10593
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","Yes","good",10606
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",2,"male (single)","none",2,"car or other",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10619
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"none","rent",1,"unskilled - resident",1,"none","Yes","good",10632
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",33,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",10645
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",25,"none","own",2,"unskilled - resident",1,"none","Yes","bad",10658
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",1,"male (single)","none",3,"unknown / no property",31,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10671
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","co-Applicant",2,"real estate",37,"stores","own",1,"skilled employee / official",1,"none","Yes","bad",10684
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10697
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",3,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",10710
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",2,"car or other",30,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",10723
"0 - 200","existing credits paid back duly till now","500 to 1000","1 to 4 years",3,"male (divorced/separated)","none",1,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10736
"0 - 200","delay in paying off in the past","less than 100","1 to 4 years",2,"male (single)","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good",10749
"Negative","critical account/ other credits existing (not at this bank)","100 to 500","4 to 7 years",1,"male (married/widowed)","none",4,"car or other",24,"none","rent",2,"skilled employee / official",1,"none","Yes","good",10762
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",58,"stores","for free",2,"unskilled - resident",1,"none","Yes","bad",10775
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",10788
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",4,"car or other",39,"none","own",1,"skilled employee / official",1,"none","Yes","good",10801
"Negative","existing credits paid back duly till now","500 to 1000","Unemployed",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good",10814
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none","Yes","good",10827
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",10840
"0 - 200","delay in paying off in the past","unknown / no savings account","less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",29,"bank","own",1,"unskilled - resident",1,"none","Yes","good",10853
"0 - 200","delay in paying off in the past","less than 100","more than 7 years",1,"male (single)","none",2,"car or other",30,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",10866
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"none","Yes","good",10879
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (single)","none",1,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10892
"0 - 200","delay in paying off in the past","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"bank","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",10905
"No checking account","all credits at this bank paid back duly","unknown / no savings account","1 to 4 years",1,"male (single)","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","Yes","good",10918
"0 - 200","existing credits paid back duly till now","unknown / no savings account","Unemployed",2,"male (single)","none",1,"unknown / no property",52,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",10931
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",31,"stores","own",2,"skilled employee / official",1,"none","Yes","good",10944
"Over 200","existing credits paid back duly till now","less than 100","more than 7 years",3,"female (divorced/separated/married)","none",2,"car or other",23,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",10957
"Negative","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",23,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",10970
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (married/widowed)","none",1,"real estate",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10983
"0 - 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","guarantor",4,"real estate",50,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10996
"0 - 200","no credits taken / all credits paid back duly","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",61,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",11009
"0 - 200","no credits taken / all credits paid back duly","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11022
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11035
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",48,"none","own",4,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",11048
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good",11061
"0 - 200","existing credits paid back duly till now","more than 1000","1 to 4 years",4,"male (married/widowed)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","good",11074
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",37,"stores","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11087
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"skilled employee / official",1,"none","Yes","good",11100
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"bank","own",1,"skilled employee / official",1,"none","Yes","good",11113
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",46,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",11126
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",51,"bank","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",11139
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","Yes","good",11152
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",11165
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",66,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",11178
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",3,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","bad",11191
"0 - 200","delay in paying off in the past","less than 100","4 to 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",1,"none","Yes","good",11204
"No checking account","no credits taken / all credits paid back duly","unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",39,"none","own",1,"unskilled - resident",2,"none","Yes","good",11217
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none","Yes","good",11230
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",1,"car or other",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11243
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",47,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11256
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"unskilled - resident",1,"none","Yes","good",11269
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",11282
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",3,"male (single)","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","Yes","good",11295
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"real estate",29,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",11308
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",11321
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",1,"male (single)","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad",11334
"Negative","existing credits paid back duly till now","100 to 500","4 to 7 years",4,"male (single)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",11347
"Negative","no credits taken / all credits paid back duly","less than 100","4 to 7 years",4,"male (single)","none",3,"real estate",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad",11360
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",56,"none","own",1,"skilled employee / official",1,"none","Yes","good",11373
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",3,"real estate",54,"none","own",1,"skilled employee / official",1,"none","Yes","good",11386
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",33,"bank","own",1,"unskilled - resident",2,"none","Yes","bad",11399
"Over 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","co-Applicant",4,"unknown / no property",20,"none","rent",2,"skilled employee / official",1,"none","Yes","good",11412
"0 - 200","existing credits paid back duly till now","more than 1000","more than 7 years",4,"male (single)","none",4,"real estate",54,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11425
"0 - 200","no credits taken / all credits paid back duly","less than 100","less than 1 year",3,"male (single)","none",4,"unknown / no property",58,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11438
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",2,"car or other",61,"none","own",1,"skilled employee / official",1,"none","Yes","good",11451
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"male (single)","none",4,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","good",11464
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","Yes","good",11477
"0 - 200","delay in paying off in the past","unknown / no savings account","4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",36,"bank","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",11490
"No checking account","existing credits paid back duly till now","100 to 500","more than 7 years",4,"male (married/widowed)","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","Yes","good",11503
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",24,"none","rent",1,"skilled employee / official",1,"none","Yes","good",11516
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",11529
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (single)","none",3,"car or other",35,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11542
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",2,"male (married/widowed)","none",4,"car or other",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11555
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",2,"male (single)","co-Applicant",3,"car or other",39,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad",11568
"No checking account","all credits at this bank paid back duly","less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",39,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad",11581
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"none","Yes","good",11594
"Negative","existing credits paid back duly till now","unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good",11607
"0 - 200","existing credits paid back duly till now","500 to 1000","more than 7 years",1,"male (married/widowed)","none",2,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11620
"0 - 200","delay in paying off in the past","100 to 500","more than 7 years",1,"male (divorced/separated)","none",2,"car or other",31,"bank","own",2,"skilled employee / official",2,"none","Yes","good",11633
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11646
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none","Yes","good",11659
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",25,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11672
"Negative","existing credits paid back duly till now","500 to 1000","more than 7 years",3,"male (married/widowed)","none",1,"real estate",35,"none","own",1,"skilled employee / official",1,"none","Yes","good",11685
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11698
"Negative","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",11711
"Negative","critical account/ other credits existing (not at this bank)","unknown / no savings account","less than 1 year",2,"female (divorced/separated/married)","co-Applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none","No","good",11724
"Negative","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",2,"skilled employee / official",1,"none","Yes","bad",11737
"0 - 200","critical account/ other credits existing (not at this bank)","500 to 1000","4 to 7 years",3,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",11750
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11763
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",41,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",11776
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","Yes","good",11789
"Over 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11802
"0 - 200","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"female (divorced/separated/married)","none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",11815
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",11828
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","Yes","good",11841
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","Yes","bad",11854
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"male (single)","none",2,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",11867
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"female (divorced/separated/married)","co-Applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none","Yes","bad",11880
"0 - 200","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",1,"female (divorced/separated/married)","none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",11893
"Negative","delay in paying off in the past","less than 100","1 to 4 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",29,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",11906
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"bank","own",2,"unskilled - resident",1,"none","Yes","good",11919
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none","Yes","good",11932
"No checking account","existing credits paid back duly till now","100 to 500","4 to 7 years",2,"female (divorced/separated/married)","none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11945
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11958
"No checking account","delay in paying off in the past","more than 1000","1 to 4 years",2,"male (single)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",11971
"0 - 200","existing credits paid back duly till now","500 to 1000","1 to 4 years",4,"male (single)","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","Yes","bad",11984
"0 - 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"male (single)","guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",11997
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",12010
"Over 200","existing credits paid back duly till now","more than 1000","less than 1 year",2,"male (married/widowed)","none",2,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none","No","good",12023
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"unknown / no property",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",12036
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",27,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",12049
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad",12062
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12075
