"Age","Workclass","fnlwgt","Education","Education-Num","Marital Status","Occupation","Relationship","Race","Sex","Capital Gain","Capital Loss","Hours per week","Country","Income","Gender with Income","RowID","Census Year"
72,"Private",205343,"11th",7,"Widowed","Adm-clerical","Unmarried","White","Female",0.9455124952408349,0.047730245753425646,40,"United-States","below50K","Female-below50K","Row552",1994
31,"Private",323069,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0.6869769915089652,0.2814858990861393,20,,"below50K","Female-below50K","Row557",1994
29,"Private",182521,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","Amer-Indian-Eskimo","Male",0.8363028608408897,0.12504961214579388,40,"United-States","below50K","Male-below50K","Row607",1994
50,"Self-emp-inc",195322,"Doctorate",16,"Separated","Prof-specialty","Not-in-family","White","Male",0.8850414201841273,0.14421150410625683,40,"United-States","above50K","Male-above50K","Row645",1994
71,"Private",78277,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.959949311616548,0.09597831272942028,15,"United-States","below50K","Male-below50K","Row647",1994
18,"State-gov",59342,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0.8296377961674365,0.16949385440959527,5,"United-States","below50K","Female-below50K","Row684",1994
44,"Private",63042,"Bachelors",13,"Divorced","Exec-managerial","Own-child","White","Female",0.8566570657942898,0.3381155048195538,50,"United-States","above50K","Female-above50K","Row705",1994
26,"Private",280093,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0.8337786706251762,0.16207211131278546,40,"United-States","below50K","Male-below50K","Row832",1994
73,"Self-emp-not-inc",177387,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.7802306830274373,0.1216676708340048,40,"United-States","below50K","Male-below50K","Row833",1994
22,"Private",226508,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Female",0.9234417736743484,0.14903324032798815,50,"United-States","below50K","Female-below50K","Row897",1994
40,"Private",184682,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0.8965286883496293,0.14210929187529742,40,"United-States","below50K","Female-below50K","Row946",1994
44,"State-gov",174675,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0.900341368813719,0.4436866043427626,40,"United-States","above50K","Female-above50K","Row950",1994
48,"Private",164966,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0.7599555304926146,0.18027908795453557,40,"India","above50K","Male-above50K","Row968",1994
78,"Private",182977,"HS-grad",9,"Widowed","Other-service","Not-in-family","Black","Female",2964.8972794419547,0.07876317442232554,40,"United-States","below50K","Female-below50K","Row978",1994
50,"Self-emp-not-inc",124793,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.8194950131003783,0.1576769603543175,30,"United-States","below50K","Male-below50K","Row992",1994
26,"Private",109186,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0.8528772825565143,0.07742354739426464,50,"Germany","below50K","Male-below50K","Row1009",1994
48,"Private",107373,"7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0.815453578831991,0.13809842880916767,40,"United-States","below50K","Male-below50K","Row1015",1994
33,"Private",26973,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Wife","White","Female",0.7651707621068363,0.188214753792282,40,"United-States","above50K","Female-above50K","Row1016",1994
45,"Federal-gov",170915,"HS-grad",9,"Divorced","Tech-support","Not-in-family","White","Female",4865.801262962146,0.1232218522071698,40,"United-States","below50K","Female-below50K","Row1121",1994
27,"Private",138705,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.7485474119843045,0.14920439241316003,53,"United-States","below50K","Male-below50K","Row1138",1994
43,"State-gov",165309,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0.8954630859645754,0.3275609689438983,40,"United-States","below50K","Male-below50K","Row1154",1994
32,"Private",202952,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0.9890136286130594,0.15462322067437292,40,"United-States","below50K","Male-below50K","Row1183",1994
36,"Private",135289,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0.8989456989200463,0.1893616605758392,45,"United-States","below50K","Male-below50K","Row1209",1994
26,"Private",195105,"HS-grad",9,"Never-married","Sales","Not-in-family","Other","Male",0.8845107483426046,0.16532358733959648,40,"United-States","below50K","Male-below50K","Row1344",1994
20,"Private",444554,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0.7099169305943852,0.43279940452224125,40,"United-States","below50K","Male-below50K","Row1369",1994
32,"Private",97429,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0.674944883134941,0.4270659100996479,40,"Canada","below50K","Female-below50K","Row1379",1994
37,"Self-emp-not-inc",137314,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.654668912724727,0.4791848080319998,60,"United-States","below50K","Male-below50K","Row1384",1994
32,"Private",180871,"Assoc-voc",11,"Divorced","Sales","Not-in-family","White","Male",0.7811863427008674,0.3564995399291873,50,"United-States","above50K","Male-above50K","Row1432",1994
61,,347089,"HS-grad",9,"Married-civ-spouse",,"Husband","White","Male",0.4677654867052444,0.35016597374216296,16,"United-States","below50K","Male-below50K","Row1441",1994
38,"Private",27997,"Assoc-voc",11,"Divorced","Craft-repair","Not-in-family","White","Male",0.5688650583717023,0.3446320841096275,40,"United-States","below50K","Male-below50K","Row1443",1994
49,"Self-emp-inc",125892,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.6392539116774402,0.2676756521258658,50,"United-States","above50K","Male-above50K","Row1453",1994
43,"Self-emp-not-inc",35236,"HS-grad",9,"Married-spouse-absent","Craft-repair","Not-in-family","White","Male",0.7645291923556089,0.4037042678028633,40,"United-States","below50K","Male-below50K","Row1480",1994
42,"Federal-gov",141459,"HS-grad",9,"Separated","Other-service","Other-relative","Black","Female",0.713623811280112,0.2770467403076382,40,"United-States","below50K","Female-below50K","Row1564",1994
49,,261059,"10th",6,"Separated",,"Own-child","White","Male",2176.577577575305,0.37996421052916696,40,"United-States","below50K","Male-below50K","Row1574",1994
37,"Private",405723,"1st-4th",2,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0.5677679916247995,0.41805945276968703,40,"Mexico","below50K","Male-below50K","Row1634",1994
53,"Private",117496,"9th",5,"Divorced","Other-service","Not-in-family","White","Female",0.6725954794469859,0.3668811106067313,36,"Canada","below50K","Female-below50K","Row1688",1994
19,"Private",375077,"HS-grad",9,"Never-married","Sales","Own-child","White","Male",0.6970634067628321,0.4369058878321312,50,"United-States","below50K","Male-below50K","Row1692",1994
31,"Private",19302,"Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","White","Male",2202.7692016679243,0.5377324621330979,38,"United-States","below50K","Male-below50K","Row1784",1994
39,"Private",79331,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",15024.564498089681,0.4546979629968,40,"United-States","above50K","Male-above50K","Row1787",1994
59,"Private",183606,"11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0.8420520013025856,0.36772795240134476,40,"United-States","below50K","Male-below50K","Row1806",1994
42,"State-gov",219553,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0.810965360281157,0.34174283330737987,38,"United-States","below50K","Female-below50K","Row1833",1994
23,"Private",228243,"Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0.606027507734576,0.28323064219779515,44,"United-States","below50K","Male-below50K","Row1840",1994
45,"Federal-gov",273194,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","Black","Male",3325.7268213787443,0.4797161325243262,40,"United-States","below50K","Male-below50K","Row1845",1994
68,"Private",67791,"Some-college",10,"Widowed","Sales","Not-in-family","White","Male",0.762715942015619,0.45770134035967575,40,"United-States","below50K","Male-below50K","Row1894",1994
42,"Local-gov",121718,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.7040091752551333,1902.6038058117813,60,"United-States","above50K","Male-above50K","Row1915",1994
33,"Private",217235,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0.6089641765469904,0.41302148441735403,20,"United-States","below50K","Male-below50K","Row1974",1994
72,"Private",74141,"9th",5,"Married-civ-spouse","Exec-managerial","Wife","Asian-Pac-Islander","Female",0.6574673767631203,0.45383332088618544,48,"United-States","above50K","Female-above50K","Row2003",1994
23,,196816,"HS-grad",9,"Never-married",,"Not-in-family","White","Male",0.6220061876723644,0.5488248429308515,30,"United-States","below50K","Male-below50K","Row2046",1994
32,"Private",549430,"HS-grad",9,"Never-married","Priv-house-serv","Unmarried","White","Female",0.6709483300639699,0.39609462621787717,40,"Mexico","below50K","Female-below50K","Row2065",1994
35,"Private",410034,"Some-college",10,"Divorced","Sales","Not-in-family","White","Male",0.7253737488166729,0.30556721539481146,50,"United-States","below50K","Male-below50K","Row2092",1994
38,"Private",277347,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.8433331962085217,0.4699061247440759,50,"United-States","below50K","Male-below50K","Row2170",1994
41,"Private",222142,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0.4211740483461184,0.5375000335520688,40,"United-States","below50K","Male-below50K","Row2172",1994
45,"Private",358886,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0.755228056713313,0.42756072476565116,40,"United-States","above50K","Male-above50K","Row2206",1994
35,"Private",47707,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Female",0.5579387558210448,0.3695707623710447,40,"United-States","below50K","Female-below50K","Row2207",1994
64,"Self-emp-not-inc",177825,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",1055.6907157944097,0.5519561097296457,40,"United-States","below50K","Male-below50K","Row2214",1994
33,"Private",189843,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0.7152661137103159,0.5882789466333371,40,"United-States","below50K","Male-below50K","Row2234",1994
20,"Private",236769,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0.8281737645180173,0.5561007149082536,40,"United-States","below50K","Male-below50K","Row2248",1994
19,"Private",242941,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0.6420215533931708,1602.3829952904669,10,"United-States","below50K","Female-below50K","Row2272",1994
42,"Private",27444,"Some-college",10,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Male",0.46212888994035584,0.35019366049146194,40,"United-States","above50K","Male-above50K","Row2311",1994
26,"Private",62438,"Bachelors",13,"Married-civ-spouse","Sales","Wife","White","Female",0.7032707750237328,0.40994481818396833,40,"United-States","above50K","Female-above50K","Row2312",1994
33,"Private",176711,"Bachelors",13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0.40985431260346705,0.32324431002308296,40,"England","below50K","Male-below50K","Row2353",1994
28,"Private",42734,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0.7202421037449157,0.4495400679635725,40,"United-States","below50K","Male-below50K","Row2363",1994
43,"Private",129573,"HS-grad",9,"Never-married","Sales","Not-in-family","Black","Female",0.6391480385156961,0.6188679076888759,44,"United-States","below50K","Female-below50K","Row2376",1994
37,"Private",65390,"Bachelors",13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0.5809312362691863,0.6291589022191082,50,"United-States","below50K","Male-below50K","Row2387",1994
34,"Private",509364,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0.6120197467897988,0.3598253811870745,30,"United-States","below50K","Male-below50K","Row2399",1994
27,"Private",387776,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0.6850229201776656,0.7317772397837489,40,"United-States","below50K","Male-below50K","Row2409",1994
55,"Self-emp-inc",124137,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0.7453830228737499,2415.4194989805665,35,"Greece","above50K","Male-above50K","Row2426",1994
44,"Local-gov",210527,"Some-college",10,"Never-married","Other-service","Unmarried","Black","Female",0.7807332178923174,0.6112188798485378,40,"United-States","below50K","Female-below50K","Row2435",1994
27,"Private",253814,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0.6560624631263285,0.3801334085276898,40,"United-States","below50K","Female-below50K","Row2500",1994
47,"Self-emp-not-inc",102359,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.5715625373706382,0.4235211362654682,30,"United-States","below50K","Male-below50K","Row2528",1994
58,"State-gov",110517,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",4064.671657915557,0.3967076181576074,40,"India","below50K","Male-below50K","Row2558",1994
54,"Federal-gov",175083,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0.8160952418641455,0.32970227010919156,20,"United-States","below50K","Female-below50K","Row2563",1994
32,"Private",195891,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0.7983630650427933,0.33829607455671756,55,"United-States","below50K","Male-below50K","Row2600",1994
18,"Private",80616,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0.6907381903590383,0.5310399456966719,27,"United-States","below50K","Male-below50K","Row2604",1994
48,"Private",108993,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.7219984372122071,0.3663599112133385,45,"United-States","above50K","Male-above50K","Row2660",1994
46,"Local-gov",377622,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0.7330349718799146,0.33830701919574047,40,"United-States","below50K","Male-below50K","Row2692",1994
48,"Private",320421,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0.5026737633130837,0.5257836434305643,50,"United-States","below50K","Male-below50K","Row2697",1994
27,"Local-gov",204098,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Other-relative","White","Male",0.24199605676975,0.7249962591516027,50,"United-States","below50K","Male-below50K","Row2706",1994
19,"Private",275889,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0.5509829307646831,0.9108971928000196,40,"Mexico","below50K","Male-below50K","Row2722",1994
20,"Private",436253,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0.8962061422230476,0.3097789353605157,35,"United-States","below50K","Male-below50K","Row2772",1994
40,"Private",105936,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",5013.420674363128,0.8977411250012514,20,"United-States","below50K","Female-below50K","Row2812",1994
35,"Private",115792,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0.7799492690829434,0.1634875026444529,55,"United-States","below50K","Male-below50K","Row2863",1994
33,"Private",144064,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.32410132553872695,0.8444413492117524,50,"United-States","below50K","Male-below50K","Row2918",1994
19,"Private",89397,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0.7697935134537478,0.9474086485540637,40,"United-States","below50K","Male-below50K","Row2937",1994
23,"Private",268525,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0.9050464431243479,0.04823051801131706,50,"United-States","below50K","Male-below50K","Row2960",1994
27,"Private",193701,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Female",0.8919566594061659,0.6007466628273738,45,"United-States","below50K","Female-below50K","Row2964",1994
43,"Private",55294,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.7780084963072043,0.5011756483501668,40,"United-States","below50K","Male-below50K","Row3062",1994
38,"Private",266645,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.9226578212411449,0.874400020026148,60,"United-States","above50K","Male-above50K","Row3077",1994
44,"Private",111275,"HS-grad",9,"Divorced","Machine-op-inspct","Unmarried","Black","Female",0.3291947880010594,0.024182935590976506,56,"United-States","below50K","Female-below50K","Row3086",1994
52,"Self-emp-inc",210736,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0.39323099390309824,0.5842491133284625,60,"United-States","below50K","Male-below50K","Row3116",1994
52,"Local-gov",317733,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688.1593457275385,0.4303188619713718,40,"United-States","above50K","Male-above50K","Row3274",1994
36,"Private",252327,"5th-6th",3,"Married-spouse-absent","Craft-repair","Other-relative","White","Male",0.13213389988923951,0.5259246586735159,40,"Mexico","below50K","Male-below50K","Row3347",1994
36,"Private",284616,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.2219091423272318,0.5407628170696746,40,"United-States","below50K","Male-below50K","Row3363",1994
51,,163998,"HS-grad",9,"Married-spouse-absent",,"Not-in-family","White","Male",0.5281068603333711,0.5920068944725048,20,"United-States","above50K","Male-above50K","Row3387",1994
50,"State-gov",198103,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0.8031141163389275,0.5543268055196265,40,"United-States","below50K","Female-below50K","Row3396",1994
52,"Private",117674,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.32973247021036367,0.7899003409299551,40,"United-States","above50K","Male-above50K","Row3407",1994
38,"Private",220585,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.2776618726298967,0.40497852936184275,40,"United-States","below50K","Male-below50K","Row3436",1994
41,"Private",50122,"Assoc-voc",11,"Divorced","Sales","Own-child","White","Male",0.6537659134530823,0.921869705892226,50,"United-States","below50K","Male-below50K","Row3450",1994
18,"Private",43272,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0.060755481400808664,0.12189126783173188,20,"United-States","below50K","Male-below50K","Row3473",1994
40,"Private",572751,"Prof-school",15,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178.418610455946,0.3743120266193637,40,"Mexico","above50K","Male-above50K","Row3502",1994
81,"Self-emp-not-inc",137018,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0.6718489974071078,0.3442700719194388,20,"United-States","below50K","Female-below50K","Row3537",1994
19,,365871,"7th-8th",4,"Never-married",,"Not-in-family","White","Male",0.06829869308073244,0.7626950326146748,40,"Mexico","below50K","Male-below50K","Row3573",1994
21,,180303,"Bachelors",13,"Never-married",,"Not-in-family","Asian-Pac-Islander","Male",0.33606364750976736,0.10015876859851458,25,,"below50K","Male-below50K","Row3579",1994
61,"Private",159046,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0.937729974355238,0.25508658421939645,40,"United-States","below50K","Male-below50K","Row3603",1994
17,"Private",354201,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0.8120580279474209,0.3021351218152134,40,"United-States","below50K","Male-below50K","Row3618",1994
41,"Private",89226,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0.33408197552189256,0.14337764154112864,40,"United-States","below50K","Male-below50K","Row3634",1994
43,"Private",102025,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Other","Male",0.15065423759875762,0.43027310775817196,50,"United-States","below50K","Male-below50K","Row3672",1994
35,"Self-emp-not-inc",267776,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Female",0.6224956937965553,0.031161418141661512,30,"United-States","below50K","Female-below50K","Row3686",1994
26,"Private",291968,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0.02150705676523912,0.387792417458777,44,"United-States","below50K","Male-below50K","Row3690",1994
33,"Self-emp-not-inc",131568,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0.18933306203823475,0.2458815200477923,66,"United-States","below50K","Male-below50K","Row3783",1994
65,"Private",169047,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0.33555202994742683,0.8019904422585585,10,"United-States","below50K","Male-below50K","Row3796",1994
38,"Private",298841,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0.9941902000485932,0.6142587743523349,45,"United-States","below50K","Female-below50K","Row3849",1994
45,"Private",33300,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0.300443295821589,1977.5851538996596,50,"United-States","above50K","Male-above50K","Row3850",1994
20,"Private",189888,"12th",8,"Never-married","Other-service","Not-in-family","White","Male",0.3114036266109982,0.8068828211329845,40,"United-States","below50K","Male-below50K","Row3853",1994
49,"Private",371299,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0.18854126687670292,0.20721233495104263,35,"United-States","below50K","Female-below50K","Row3943",1994
24,"Private",215251,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0.8313079199758139,0.23764857183578414,50,"United-States","below50K","Female-below50K","Row3975",1994
28,"Private",66473,"HS-grad",9,"Divorced","Machine-op-inspct","Own-child","White","Male",0.04850890630197535,0.003914794632167151,40,"United-States","below50K","Male-below50K","Row4016",1994
39,"Private",63910,"Some-college",10,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0.9184779792680331,0.7145431091973856,40,"United-States","below50K","Female-below50K","Row4059",1994
90,"Private",313986,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0.9958168038392038,0.314356139461208,40,"United-States","below50K","Male-below50K","Row4070",1994
20,"Private",190423,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0.1655117883844721,0.20111735968976363,20,"United-States","below50K","Female-below50K","Row4129",1994
23,"Private",348092,"HS-grad",9,"Never-married","Transport-moving","Own-child","Black","Male",0.4714609998980447,0.21460983216089313,40,"Haiti","below50K","Male-below50K","Row4180",1994
61,"Private",195453,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.32596924733834975,0.3582725534221366,50,"United-States","above50K","Male-above50K","Row4238",1994
36,"Private",99270,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Wife","White","Female",0.9304907740028735,0.5524720643270595,40,"United-States","below50K","Female-below50K","Row4263",1994
49,"Private",204629,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.1407755285939687,0.5855102085221421,40,"United-States","above50K","Male-above50K","Row4264",1994
45,"Private",178215,"9th",5,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0.28819432480667295,0.9339983524486133,40,"United-States","above50K","Female-above50K","Row4378",1994
35,"Private",417136,"HS-grad",9,"Divorced","Craft-repair","Unmarried","Black","Male",0.7201565078287179,0.3167496720092351,40,"United-States","below50K","Male-below50K","Row4423",1994
27,"Private",367329,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0.4673377007155385,0.42913686065724155,40,"United-States","below50K","Male-below50K","Row4542",1994
55,"Private",80445,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0.09734800029333734,0.553884470467376,40,"United-States","below50K","Male-below50K","Row4565",1994
65,"Private",143554,"Some-college",10,"Separated","Adm-clerical","Not-in-family","White","Female",0.44602434858768725,0.8573795516140742,38,"United-States","below50K","Female-below50K","Row4587",1994
44,"Private",129100,"11th",7,"Separated","Other-service","Unmarried","Black","Female",0.41268090879089414,0.2041145863260172,60,"United-States","below50K","Female-below50K","Row4601",1994
49,"Private",110243,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.44829688161779735,0.45711077493317587,45,"United-States","above50K","Male-above50K","Row4622",1994
47,"Private",121958,"7th-8th",4,"Married-spouse-absent","Other-service","Unmarried","White","Female",0.4810755307160628,0.813385712888574,30,"United-States","below50K","Female-below50K","Row4633",1994
44,"Self-emp-not-inc",147206,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0.1545967368859571,0.6512978162341454,12,"United-States","below50K","Male-below50K","Row4640",1994
38,"Private",111499,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",7298.63536110138,0.1798777712210029,50,"United-States","above50K","Male-above50K","Row4659",1994
22,"Private",183970,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","Black","Male",0.506259344434838,0.23978552614660742,40,"United-States","below50K","Male-below50K","Row4664",1994
28,,291374,"10th",6,"Never-married",,"Unmarried","Black","Female",0.9761473859493514,0.43030639811904414,40,"United-States","below50K","Female-below50K","Row4835",1994
57,"Self-emp-inc",101338,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.1254907229962987,0.6056115933202874,20,"United-States","below50K","Male-below50K","Row4857",1994
50,"Private",184424,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0.5813230060309174,1902.6054617526543,38,"United-States","above50K","Female-above50K","Row4874",1994
42,"Private",201732,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0.915449906813535,0.3580188387376726,40,"United-States","above50K","Male-above50K","Row4923",1994
45,"Self-emp-inc",204205,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0.1787607155932921,0.7855434855358753,50,"United-States","above50K","Male-above50K","Row4952",1994
46,"State-gov",29696,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0.7056803590653916,0.6348850604808547,40,"United-States","below50K","Male-below50K","Row4971",1994
